how may heterozygotes for cf be identified	how may heterozygotes for cf be identified	severe respiratory disease in infants with cystic fibrosis the diagnosis management and prognosis of infants with cystic fibrosis cf and severe respiratory disease were reviewed for the period to the clinical course of these infants was characterized by a bronchiolitis like syndrome with failure to thrive and malnutrition arterial blood gases demonstrated marked hypoxemia mean pao mm hg tracheal cultures showed a predominance of gram negative microorganisms with pseudomonas aeruginosa klebsiella pneumoniae and escherichia coli predominating corticosteroids were used in all patients despite vigorous therapy including antibiotics there was a mortality a delay in the diagnosis of cf from the onset if respiratory symptoms with a mean of six weeks was considered an important factor affecting survival this data supports the need for developing a reliable screen test for cf at birth
other than the sweat test what techniques may be useful beyond the neonatal period for the diagnosis of cf	other than the sweat test what techniques may be useful beyond the neonatal period for the diagnosis of cf	primary peritonitis in infancy and childhood primary peritonitis rarely diagnosed preoperatively is an uncommon disease accounting for of all pediatric abdominal emergencies it is often associated with urinary or hepatic pathology the former the source of the infecting organism in the majority of cases and presents with characteristic symptoms depending upon whether it occurs in infancy or childhood the symptoms and signs which allow for a positive prospective diagnosis are illustrated by comparing this disease to those entities with which it is most often confused e g diffuse peritonitis of other etiologies and include a short duration of symptoms associated urinary tract infection and an absence of free air on abdominal roentgenograms in the past gram positive organisms were the most common infecting agent however in this series gram negative bacteria accounted for or the organisms antibiotics with a gram negative spectrum and exploratory laparotomy with appendectomy are the hallmarks of therapy the latter replaced by abdominal tap only in the patient who satisfies the criteria for primary peritonitis and in whom an associated disease makes the risk of surgery prohibitive
is vitamin d metabolism normal in cf patients	is vitamin d metabolism normal in cf patients	use of water vapor in the treatment of lower respiratory disease use of bland aerosols particularly mist tents in the treatment of lower respiratory disease was reviewed and no convincing evidence of efficacy was found this is not surprising because there is evidence that mist tents deposit little water in the lower respiratory tract mist tents may be detrimental in some cases because of bacterial contamination and because they can cause bronchospasm
what abnormalities of insulin secretion or insulin metabolism occur in cf patients	what abnormalities of insulin secretion or insulin metabolism occur in cf patients	plasma membrane lipids of human diploid fibroblasts from normal individuals and patients with cystic fibrosis the lipid composition of isolated plasma membranes of human skin fibroblasts is described for the first time plasma membranes from a number of strains of fibroblasts from patients with cystic fibrosis and matched normals were isolated by a recently described procedure and analysed for major phospholipid classes cholesterol and fatty acids no differences in the quantities of these compounds were detected between cells of the two different origins the fetal calf serum used to supplement the growth medium contained relatively more palmitoleate and oleate but less stearate than the membranes there were also no consistent differences between cystic fibrosis and normal membranes in terms of the fatty acid compositions of their individual phospholipid classes consistent with this lack of chemical change in the lipids of membranes of cystic fibrosis cells the degree of fluorescence polarization of diphenylhexatriene an index of fluidity was also unchanged
is salt sodium andor chloride transportpermeability abnormal in cf patients	is salt sodium andor chloride transportpermeability abnormal in cf patients	cystic fibrosis problems encountered with sweat testing the sweat test is the only practical and reliable laboratory test for confirmation of the diagnosis of cystic fibrosis among patients referred to the johns hopkins hospital for sweat testing had had a previous test tests had been reported as negative and tests had been reported as positive results of quantitative pilocarpine iontophoresis sweat tests at this center led to a change in diagnosis in of these patients most of the errors were false positive
what structural or enzymatic differences are there between fibroblasts from cf patients and non-cf patients	what structural or enzymatic differences are there between fibroblasts from cf patients and non-cf patients	activated complement in the sputum from patients with cystic fibrosis cystic fibrosis cf patients chronically infected with mucoid p aeruginosa and presenting multiple precipitins in serum against this bacterium cf p and cf patients without p aeruginosa infection cf p had their plasma and sputum sol phase examined for albumin clq c c c c and c by means of electroimmunoassays their sputum sol phase was examined also for factor b by rocketimmunoelectrophoresis c c was demonstrated in the sputum sol phase but significantly more frequent p less than among the cf p patients than among the cf p patients factor b was also demonstrated in the sputum sol phase but no significant difference in frequency could be demonstrated between the cf p and the cf p patients none of the results indicated that a local pulmonary production of complement factors took place complement activation was significantly p less than associated with inflammation expressed as increased formula see text the results show the importance of complement mediated inflammation in the pathogenesis of pulmonary tissue damage in patients with cf and support the concept of chronic p aeruginosa lung infection as an immune complex disease in cf patients
what abnormalities of prostaglandin metabolism have been described in cf patients	what abnormalities of prostaglandin metabolism have been described in cf patients	cystic fibrosis protein a confirmed diagnostic marker for detecting heterozygote carriers significance in relation to future screening and to a proposed primary defect in alpha macroglobulin the fact that alpha macroglobulin and cystic fibrosis cda are made by fibroblasts and monocytes points to the fact that these markers and the cf protein will be of value for the detection of the cf gene antenatally screening for cfp and cf cda by isoelectric focusing or radioimmunoassay in conjunction with quantitation of the functional capacity of a m could distinguish a fetus homozygous from one heterozygous for the cf gene
what are the properties and activity of galactosyltransferase enzymes from cf patients	what are the properties and activity of galactosyltransferase enzymes from cf patients	distribution of serum amylase isoenzymes in cystic fibrosis homozygotes and heterozygotes a simple method has been elaborated for the routine separation and quantitative determination of amylase isoenzymes the ratio p s the quotient of the activity values obtained by densitometric evaluation of the pancreatic and salivary isoenzymes is used to characterize their distribution in healthy adults and children the value for p s is above in of the cases with a mean of in of heterozygote cf gene carriers the p s is below with a mean of in addition to the higher total amylase activity in mv homozygote patients p s is less than and even the phenomenon is explained by a compensatory enhancement of salivary activity the method is a suitable diagnostic test of the exocrine function of the pancreas and for evaluation of the serum amylase isoenzymes the p s value allows to differentiate heterozygote cf gene carriers from homozygotes and healthy individuals
what differences between normal subjects and cf patients have been described in the function or metabolism of hormones	what differences between normal subjects and cf patients have been described in the function or metabolism of hormones	decreased sialic acid and altered binding to lectins of purified alpha macroglobulin from patients with cystic fibrosis purified preparations of plasma alpha macroglobulin from patients with cystic fibrosis are shown to have normal amounts of total hexose but as much as decrease in their sialic acid content the binding of these preparations to concanavalin a and wheat germ agglutinin was markedly reduced as compared to normal values in controls intermediate values were found in obligate heterozygotes these results suggest a possible alteration in the carbohydrate moiety of alpha macroglobulin in cystic fibrosis presumably due to a defective posttranslational process
do fibroblasts from cf patients grow at a normal rate	do fibroblasts from cf patients grow at a normal rate	letter infecting dose of salmonella an outbreak of salmonellosis in patients consuming pancreatin in the u k prompted a study at this hospital which included determination of the infecting dose in children with cystic fibrosis known to have contracted a s schwarzengrund enteritis from contaminated porcine powdered pancreatin we found that infection was especially prevalent in very young cystic fibrosis patients who were receiving broad spectrum antibiotic treatment for chest infection all had their pancreatin added to meals immediately before consumption susceptibility to most infections depends on many factors and variables it is necessary to take into account such things as age and condition of the patient when discussing the actual number of organisms causing an infection
is rna methylation or polyamine metabolism normal in cf patients	is rna methylation or polyamine metabolism normal in cf patients	false positive in labeled leukocyte scan in cystic fibrosis a false positive in labeled leukocyte scan was obtained in a girl with cystic fibrosis and infection there was focal accumulation of in activity in the abdomen and marked pulmonary uptake surgical exploration and postmortem examination revealed no abdominal abnormality the abnormal activity was apparently due to swallowed sputum which contained labeled leukocytes broader clinical implications are discussed
what defects in the synthesis or metabolism of cyclic nucleotides have been described in cf patients	what defects in the synthesis or metabolism of cyclic nucleotides have been described in cf patients	precipitating antibodies against escherichia coli bacteroides fragilis ss thetaiotaomicron and pseudomonas aeruginosa in serum from normal persons and cystic fibrosis patients determined by means of crossed immunoelectrophoresis serum from normal persons and from cystic fibrosis patients was examined for precipitins against faecal bacteria e coli and b fragilis and against p aeruginosa by means of crossed immunoelectrophoresis of the normal sera contained precipitins against e coli contained one precipitin against b fragilis and contained one precipitin against p aeruginosa in sera from cystic fibrosis patients there was a significantly increased prevalence of precipitins against e coli b fragilis and p aeruginosa and the mean number of precipitins against each of these bacteria was range range and range respectively increased numbers of precipitins against p aeruginosa were correlated with chronic lung infection caused by this species and with poor prognosis whereas such associations were not revealed as regards precipitins against the two other bacterial species increased numbers of precipitins against e coli and b fragilis were significantly associated with increased numbers of precipitins against p aeruginosa it is suggested that this association is due to immune reactions in the intestinal mucosa resulting in increased absorption of antigens from the gut
what circulating or secreted factors have been described in cf	what circulating or secreted factors have been described in cf	enterokinase and trypsin activities in pancreatic insufficiency and diseases of the small intestine the interrelationship of enterokinase and trypsin activities were investigated in infants and children with a variety of gastrointestinal and pancreatic disorders fourteen patients with diarrhea and grade ii mucosal injury revealed a significant p less than reduction of enterokinase trypsin and disaccharidase activites as compared to children with normal mucosa nine patients with cystic fibrosis and pancreatic insufficiency had normal mucosal enterokinase activity and elevated intraluminal enterokinase activity with very low or no trypsin activity patients with hypoproteinemia and gastrointestinal protein loss associated with intestinal lymphangiectasia patients and intestinal lymphoid nodular hyperplasia patients had normal or insignificant decrease of enterokinase and trypsin activities in patients with steatorrhea a normal sweat test normal intestinal mucosa and absent trypsin activity two entities were defined one group patients was diagnosed as schwachman diamond syndrome with pancreatic insufficiency and normal mucosal and intraluminal enterokinase activity the second group patients with absent mucosal and intraluminal enterokinase activity and normal lipase and amylase activities was diagnosed as congenital enterokinase deficiency
what is known about prolactin in cf patients	what is known about prolactin in cf patients	cystic fibrosis a family challenge to learn how families cope with cystic fibrosis we interviewed families who gave us vivid descriptions of the day to day process of living with this devastating disease the families and the disease are described pre diagnosis and diagnosis home management and treatment family communication about cf the reactions of siblings relationships with peers hospitalization and sources of support are discussed
does secretory iga protect cf patients against bacterial colonization or infection	does secretory iga protect cf patients against bacterial colonization or infection	reduced serum hydroxyvitamin d concentration and disordered mineral metabolism in patients with cystic fibrosis vitamin d and mineral metabolism were studied in adolescents and young adults with cystic fibrosis and the results were compared to those in matched controls all cf patients had been maintained on standard multivitamin supplements in combination with pancreatic enzyme replacement despite this supplementation relative to control subjects the cf patients had a reduction in serum hydroxyvitamin d concentration a slight but significant reduction in serum calcium concentration evidence of calcium malabsorption with secondary hyperparathyroidism and a decrease in bone mass measured by the photon absorption technique currently accepted modes of pancreatic enzyme replacement and vitamin d supplementation are often inadequate to maintain normal mineral homeostasis in cf patients additional measurements may be required to reduce the risk of clinically significant osteopenia concomitant with prolonged survival in cf
what is the relationship of allergy or hypersensitivity to lung disease in cf patients	what is the relationship of allergy or hypersensitivity to lung disease in cf patients	structure and function of small airways in health and disease during the last two decades great strides have been made in our understanding of the functional aspects of airflow in the periphery of the lung it seems that the small airways are the important site of obstruction in a variety of chronic respiratory disorders associated with airflow obstruction this review deals with the anatomic and functional aspects of small airways in normal and diseased lungs in particular the basis of obstruction or narrowing that is not dependent on intrinsic airway lesion is reviewed the variety of pathologic changes in small airways observed in these diseases are outlined along with physiologic tests that are currently used to detect dysfunction at a stage long before they produce symptoms or alter standard tests of lung function
what are the interactions between proteases endogenous or bacterial origin and antiproteases in the lungs of cf patients	what are the interactions between proteases endogenous or bacterial origin and antiproteases in the lungs of cf patients	paediatric research society plymouth and september abstracts abstracts are given for articles on abnormalities of the complement system in children with liver disease hepatic collagen synthesis and its modification by colchicine is a rat model of cirrhosis of the liver postprandal total serum bile acid concentrations in cystic fibrosis release of endogenous secretin in children with cystic fibrosis bronchial allergy in children with cystic fibrosis and other topics
what is the relationship between nutrition and pulmonary host defenses against bacterial infection in cf patients	what is the relationship between nutrition and pulmonary host defenses against bacterial infection in cf patients	pulmonary diseases in children respiratory infections in infants and children cause much ill health and also an appreciable mortality they are found at times in most school children and in infants especially those in large families and those living in poor circumstances in all respiratory infections the whole respiratory tract is involved for descriptive purposes it is useful to divide these infections into upper respiratory tract infections in which the infection is predominantly at the larynx or above and lower respiratory tract infections in which the predominant infection is below the larynx acute upper respiratory tract infections are usually viral and the poly virus infection of coryza is the commonest acute lower respiratory tract infections are discussed in two groups in infants under two years of age and in children over two including cystic fibrosis
what is the pathophysiologic role of circulating antibodies to pseudomonas aeruginosa in cf patients	what is the pathophysiologic role of circulating antibodies to pseudomonas aeruginosa in cf patients	letter complement components in cystic fibrosis freshly obtained sera were assayed from c f young adult patients age men and women and from control patients with bronchiectasis or chronic bronchitis in whom c f had been ruled out in addition the blood from mothers heterozygotes of c f patients was assayed the mean c level in the c f men was slightly lower than that in the male controls whereas the c f women had a significantly higher mean level of c than did the female controls the c level in the c f women was also significantly higher than that of the c f men p t by the student s t test the female controls had slightly higher c levels than did the male controls but this difference was not significant comparison of c levels from all of the c f subjects to the controls shows considerable overlap in values especially in the men these studies suggest that an assay of serum c does not effectively distinguish c f subjects from patients with other types of chronic lung disease however the differences between c f women and c f men is interesting and deserves further attention our data from c f young adults do not fully confirm those reported by conover et al but it is possible that the experimental effects of carboxypeptidase b observed by conover might result from action of the enzyme on the c f factor of serum although its identity most likely is not c a
what is the immunologic response to pulmonary infection in cf patients	what is the immunologic response to pulmonary infection in cf patients	regional pediatric pulmonary centers in ohio acute and chronic respiratory disorders play a large role in the practitioner s daily care of infants children and adolescents to assist with the more sophisticated problems in these diseases the ohio committee on pulmonary standards has established pediatric pulmonary care centers distributed over the state of ohio referral to these centers may be requested by the practicing physician to illustrate the validity of this concept this article reviews the care given to patients with cystic fibrosis cf the improved prognosis for this disease entity and the advantages of expertise and of centralized care
what immunologic abnormalities have been found in cf patients	what immunologic abnormalities have been found in cf patients	serum angiotensin converting enzyme in chronic granulomatous disease letter we have studied serum angiotensin converting enzyme sace in sarcoidosis and other granulomatous disorders we have measured sace in randomly chosen consecutive patients with chronic granulomatous disease cgd and in some of their family members and in children with cystic fibrosis and severe chronic pulmonary involvement sace levels in the patient with cgd differed significantly from those of normal controls and those of family members and patients with cystic fibrosis our preliminary studies show that cgd is associated with increased levels of sace
what are the effects of cf on the pulmonary circulation	what are the effects of cf on the pulmonary circulation	cystic fibrosis gone are the days when it was thought that the prognosis was hopeless at least three quarters of these children should live past the age of especially now that the disease can be diagnosed at birth the diagnosis and treatment of cystic fibrosis are explained
is there a defect in mucociliary transport clearance in the respiratory tract of cf patients	is there a defect in mucociliary transport clearance in the respiratory tract of cf patients	the effect of spermidine and spermine on proliferation in vitro of fibroblasts from normal and cystic fibrosis patients the effects of spermidine and spermine at varying concentrations upon the replicative ability of human fibroblasts in cell culture have been studied the average concentrations of spermidine causing a inhibition of prolifertion id after days of growth for three normal cell strains and three strains derived from patients with cystic fibrosis cf were x m and x m respectively the values for spermine were x m for normal and x m for fibroblasts from cystic fibrosis patients no significant difference between the replicative ability of normal and cf cell strains was seen over a wide range of polyamine concentrations employed for a period of up to days
what are the clinical features of lung disease in cf patients	what are the clinical features of lung disease in cf patients	home care for cf patients nearly all agree that home therapy which permits cystic fibrosis children to lead nearly normal lives is desirable between hospital visits it s also essential for warding off the primary threats of cf pulmonary insufficiency and cor pulmonale treatment is palliative focusing on supplying enzymes that the body can t secrete and when the lungs are involved clearing airway obstructions the first step in therapy is starting the child on supplemental enzymes which will enable him to absorb fat and protein usually we encourage a normal diet if x rays pulmonary function tests or clinical observation shows lung involvement we initiate pulmonary therapy and teach parents how to perform it at home postural drainage is continued indefinitely even if the lungs clear if the child shows clinical signs of infection we instruct the parents to increase the number of active mist and postural drainage treatments and to administer oral antibiotics in high doses above all we instruct the parents of cf children to treat them as normally as possible
what are the biochemical or microscopic characteristics of airway inflammation in cf patients	what are the biochemical or microscopic characteristics of airway inflammation in cf patients	meconium ileus equivalent in an infant aggravated by soy bean formula meconium ileus in the neonate is the presenting symptom in to per cent of instances of cystic fibrosis of the pancreas similar intestinal obstruction occurring later in the post neonatal period is a rare occurrence and was called meconium ileus equivalent by jensen of cases affected by this syndrome reported in medical literature only were infants we report a week old patient who died days after surgery for small bowel obstruction the clinical suspicion of cystic fibrosis was confirmed at autopsy
how does lung function change with time in cf patients time periods	how does lung function change with time in cf patients time periods	glycosidases in human skin fibroblast cultures alpha fucosidase alpha galactosidase alpha glucosidase beta mannosidase and n acetyl alpha glucosaminidase five glycosidases alpha fucosidase alpha galactosidase alpha glucosidase beta mannosidase and n acetyl alpha glucosaminidase were studied in human skin fibroblast cultures the ph dependency kinetic properties of the enzymes and results of isoelectric focusing and ion exchange chromatography are presented techniques suitable for diagnosing inborn lysosomal diseases in skin fibroblast cultures are defined
what are the abnormalities of pulmonary function in cf patients	what are the abnormalities of pulmonary function in cf patients	treatment of pulmonary infections in patients with cystic fibrosis a comparative study of ticarcillin and gentamicin the effectiveness of ticarcillin against pseudomonas aeruginosa in acute exacerbations of pulmonary infection in patients with cystic fibrosis was evaluated seventy one percent of patients treated with ticarcillin alone responded favorably the response rate was similar in patients treated with a combination of ticarcillin plus gentamicin or with gentamicin alone severity of the underlying disease was the most important determinant of response to treatment ticarcillin resistant organisms were recovered during treatment in of patients who received this drug recovery of them was not prevented by the inclusion of gentamicin in the therapeutic regimen nor did they interfere with clinical improvement the ticarcillin resistant strains persisted at follow up two to six months after completion of therapy in only one of ten patients no serious toxicity to ticarcillin was noted during the study period
what are the pathologic features of lung disease in cf patients	what are the pathologic features of lung disease in cf patients	depression of erythropoiesis physical growth and hair growth by chloramphenicol in a three year old child with cystic fibrosis in patients with cystic fibrosis cf of the pancreas optic neuritis and peripheral neuritis have been reported to follow treatment with chloramphenicol this toxic sequel appears to be related to the dosage and duration of therapy in patients with other diseases who are treated with chloramphenicol the risk of devastating bone marrow toxicity has been estimated to range from to we have found only two reports of patients with cf who had hematologic complications after treatment with chloramphenicol we here report a year old girl who had selective depression of the erythroid bone marrow anorexia weight loss temporary hair loss and retardation of growth after prolonged administration of chloramphenicol
what is the prognosis for patients who have had an episode of respiratory failure	what is the prognosis for patients who have had an episode of respiratory failure	bulging fontanelle as presenting sign in cystic fibrosis vitamin a metabolism and effect on cerebrospinal fluid pressure a month old infant had the single problem of a bulging fontanelle a diagnosis of cystic fibrosis with secondary hypovitaminosis a was made by the findings of high sweat chloride values and a low serum carotene level a greatly accelerated rate of weight gain following the addition of pancreatic enzyme supplements confirmed the presence of malabsorption the infant developed characteristic fibrosis pulmonary disease at months of age animal studies have shown vitamin a deficiency to be associated with increased cerebrospinal fluid csf pressure diminished absorption of csf and pathological findings of thickening and infiltration with mucopolysaccharides of the dura mater around the arachnoid villi
what are the effects of bronchodilators in cf patients	what are the effects of bronchodilators in cf patients	endocrine function of the pancreas in cystic fibrosis evidence for an impaired glucagon and insulin response following arginine infusion pancreatic glucagon and insulin were determined in children with cystic fibrosis c f and in a control group following stimulation by an arginine infusion in controls the infusion of arginine induced a prompt threefold elevation in plasma pancreatic glucagon and about a sixfold increase in plasma immunoreactive insulin in patients with c f the average response of both hormones was considerably less and the base line concentrations for glucagon were lower the data support the hypothesis that in c f both alpha and beta cell function are affected as a result of the underlying process
what is the best way to treat pneumothorax in cf patients	what is the best way to treat pneumothorax in cf patients	pancreatic extracts in the management of cystic fibrosis the university of kansas group have established that pancreatic extracts in the doses currently used in the management of patients with cystic fibrosis cause hyperuricosuria which may occasionally be symptomatic they correctly worry about long term ill effects of such therapy in treated cf patients the uricosuria results primarily from the increased dietary purine load though the abnormal transport physiology in cf may contribute even though final evidence on risk is not at hand prudence would suggest holding the purine load in cf patients to the minimum needed to ensure digestion of sufficient foodstuffs without necessarily permitting a normal diet sans steatorrhea alternatively purified enzyme preparations free of the remaining sweetbread could eliminate the excess nucleic acid intake and be administered in a dosage permitting the luxury of redundant safety
what is the treatment for and prognosis of hemoptysis in cf patients	what is the treatment for and prognosis of hemoptysis in cf patients	the prevalence of coeliac disease and cystic fibrosis in ireland scotland england and wales admissions to hospital in the republic of ireland in scotland and in england and wales for coeliac disease and cystic fibrosis are compared admissions to hospital in for coeliac disease in the republic of ireland which does not yet have full returns of hospital admissions was approximately three times greater than the number expected based upon the rates in england and wales in in scotland the admission rates for coeliac disease were about twice the expected number based upon the english rates this contrasted with admissions for cystic fibrosis which were only slightly higher in ireland and in scotland than in england and wales evidence that the high admission rates for coeliac disease represent a genuinely high rate in the community admission rates for coeliac disease were as high in the east and south of ireland as in the west in ireland the potato and not the wheaten bread was the staple diet before the great famine of the s in nineteenth century scotland too less wheaten bread was eaten than in england and wales in the past therefore coeliac disease would not be as disadvantageous in ireland and to a less extent in scotland as in england and wales
what is the prognosis for infants with wheezing and cystic fibrosis	what is the prognosis for infants with wheezing and cystic fibrosis	lipids in cystic fibrosis there are certain aspects of the symptomatology of cystic fibrosis that bear a resemblance to those of essential fatty acid deficiency we fed a group of patients essential fatty acids orally since intravenous administration is not a practical method for long term treatment results of the study were varied although some response was noted in all patients there were no consistent clinical changes seen in every patient the oral efa therapy effected no change in sputum cultures after one year of efa the sweat sodium concentration was lower in all but one patient the clinical aspect of our study is small but promising the results suggest a role for efas in the care of cf whether efa is a factor in the etiology of cf or merely a manifestation of malabsorption requires further investigation
what is the best treatment for nasal polyps in cf patients	what is the best treatment for nasal polyps in cf patients	complement activation and pulmonary inflammation in cf patients this study examined whether biologic activation of c with subsequent pulmonary inflammation takes place in the lungs of patients with cystic fibrosis plasma complement c levels were all normal eleven of the patients with the c split product c c were from the group of patients suffering from chronic infection with mucoid strains of pseudomonas aeruginosa and were from the group of cf patients without p aeruginosa infection this difference was significant p a comparison of albumin ratios between the patients with the c split product c c and the remaining other patients showed a significant higher ratio in the former group p on an average versus per cent the significantly higher albumin ratio demonstrated in the patients with c c in their sputum sol phase supports the concept of complement induced inflammation with subsequent transudation of plasma proteins in these patients this study thus shows that complement mediated inflammatory reactions may play an important role in the pathogenesis of pulmonary tissue damage in patients with cf even when the plasma c levels are normal and it supports the concept of chronic p aeruginosa lung infection as an immune complex disease in cf patients
how effective is bronchial lavage in cf patients	how effective is bronchial lavage in cf patients	cystic fibrosis heterozygote detection a study on a normal population detection of the cystic fibrosis cf heterozygote by testing for cystic fibrosis factor activity cffa in serum samples using bioassays had been reported to give unreliable results the present study was undertaken to find whether the use of medium from short term white blood cell or skin fibroblast cultures rather than serum as the test sample would eliminate such inconsistencies short term white blood cell cultures were established from normal healthy individuals cultures from had no cffa six no showed variable results and four no had activity in all four tests done on a single sample when the assays were repeated months later on new cultures from these four positive cffa individuals two showed activity nos and two did not nos all individuals whose cultures showed cffa has histories of allergies the association of cffa in the culture medium derived from individuals having allergies with the intermittent presence of this activity suggested that environmental factors induced a cff like activity in such white blood cell cultures the oyster ciliary assay using medium from white blood cell cultures cannot be used for screening for the cf heterozygote since the substitution of culture medium for serum did not eliminate inconsistent results and cffa was not specific by this assay for the cf gene of the fibroblast lines established from the four persons whose initial white blood cell cultures consistently showed cffa only one no showed the cf culture phenotype cffa positive and metachromasia
what are the results of mechanical ventilation in cf patients with respiratory failure	what are the results of mechanical ventilation in cf patients with respiratory failure	bronchial hyperreactivity in cystic fibrosis and asthma we studied patients with cf and compared their responsiveness to inhaled methacholine to that of asthmatic children and normal children positive responses to mch occurred in of the patients with cf and of those with asthma there was a significant correlation between a positive response to mch in cf and poor pulmonary function there was no relationship between allergic rhinitis or positive allergen skin tests and a positive mch response dose response curves and time course to mch challenge differed in cf and asthma bronchial hyperreactivity is thus common in cf but is different from that in asthma
what is the best treatment for pulmonary hypertension and or cor pulmonale in cf patients	what is the best treatment for pulmonary hypertension and or cor pulmonale in cf patients	cystic fibrosis heterozygote detection a family study family studies have been done to determine if the phenotypes described for the cystic fibrosis cf cultured cell reliably detected the cf gene two culture phenotypes were studied in culture derived from consecutive generations in four cf families cystic fibrosis factor cff in the medium of short term white blood cell cultures assayed by a modified oyster ciliary test and the three characteristics of cultured skin fibroblasts metachromasia without alcianophilia at m mgcl cff in the culture medium and metabolic cooperation with normal fibroblasts as cf is an autosomal recessive disorder the family offered a test unit for determining the specificity of these cell phenotypes for the cf gene on the basis of detecting the cf culture phenotypes in the homozygote and obligatory heterozygotes the parents and their segregation in consecutive generations detection of the cf gene was not possible in the white blood cell cultures but was possible in the skin fibroblast cultures
what are the effects of exercise training programs on lung function in cf patients	what are the effects of exercise training programs on lung function in cf patients	small bowel mucosal dysfunction in patients with cystic fibrosis jejunal biopsies were obtained from children with cystic fibrosis with gluten induced enteropathy and control subjects for the following studies disaccharidase activity l ala l phe hydrolase activity and intestinal uptake of three c labeled amino acids values were significantly reduced in the three determinations in patients with gluten induced enteropathy as compared to control subjects lactase and l ala l phe hydrolase activities were significantly reduced p less than in cf patients as compared to control subjects definite hypolactasia was also observed in of the children with cf uptake of lysine was normal in cf patients whereas that of phenylalanine and cycloleucine was reduced as compared to control subjects this study suggests an intestinal component to the malabsorption of patients with cf
what techniques are effective in promoting clearance of mucus from the lungs of cf patients	what techniques are effective in promoting clearance of mucus from the lungs of cf patients	staphylococcus aureus empyema in cystic fibrosis staphylococcal empyema is not a rare occurrence in patients with cystic fibrosis occurring in as many as per cent of such patients in our recent experience in some patients it may be the presenting illness in infancy cystic fibrosis patients with empyema now constitute a significant percentage approximately to per cent of the total number of patients hospitalized with empyema since most of these empyemas occur in infancy and most are of staphylococcal origin sweat tests should be done on all infants admitted with staphylococcal pneumonia with or without empyema particularly when recovery with adequate treatment is unduly prolonged
what special considerations are there for treatment of cf patients with antibiotics ie are the pharmacodynamics of antibiotics different in cf patients or are there other special problems peculiar to cf	what special considerations are there for treatment of cf patients with antibiotics ie are the pharmacodynamics of antibiotics different in cf patients or are there other special problems peculiar to cf	cystic fibrosis in blacks in washington dc incidence and characteristics an intensive search for blacks with cystic fibrosis cf in washington dc during the period to disclosed black patients eight of whom were born in the district of columbia during this decade the calculated incidence of cf is at least one in black newborns the clinical course and pathological changes in blacks with cf are similar to those in whites genetic considerations point to autosomal recessive inheritance in blacks which is generally accepted for whites with this disease
what is the role of orally administered antibiotics in the treatment of cf patients	what is the role of orally administered antibiotics in the treatment of cf patients	nocturnal elemental diet for retarded growth in a patient with cystic fibrosis the combination of chronic pulmonary sepsis and pancreatic insufficiency in children with cystic fibrosis may lead to malnutrition we describe our experience of the long term use of continuous nocturnal infusion of elemental diet in a patient with cystic fibrosis our patient tolerated the long term nocturnal elemental diet well and it enabled her to continue normal everyday activity and eat normal meals the periods of nutritional support coincided with periods of increased body weight and total body potassium indicating that the lean body mass was increased we think that these results show a need for further studies of home treatment in children with cystic fibrosis
what is the evidence that combination therapy with aminoglycosides and semisynthetic penicillins is more effective than therapy with either alone	what is the evidence that combination therapy with aminoglycosides and semisynthetic penicillins is more effective than therapy with either alone	spermine and spermidine modulators of the cell surface enzyme adenylate cyclase adenylate cyclase activity was measured in membrane preparations of cultured fibroblasts from controls and patients with cystic fibrosis enzyme activity increased as the transition from exponential growth to confluence occurred sodium fluoride stimulated activity more markedly displayed this relationship than basal cyclase activity the in vitro addition of spermine x to x m to membrane preparations caused inhibition of basal and sodium fluoride stimulated enzyme activity with inhibition of basal activity occurring at m spermine spermidine m caused inhibition of adenylate cyclase activity the increase in fibroblast adenylate cyclase activity during the transition from exponential growth was comparable in cells obtained from cystic fibrosis patients and control subjects basal and sodium fluoride stimulated adenylate cyclase activity as well as inhibition of this enzyme activity by spermidine and spermine were undistinguishable between the different cell genotypes a potential modulation of cellular proliferative activity through polyamine interaction with the adenylate cyclase system is postulated
how effective are inhalations of mucolytic agents in the treatment of cf patients	how effective are inhalations of mucolytic agents in the treatment of cf patients	ultrastructure of the in vitro formation of hydroxyapatite in submandibular saliva of children with cystic fibrosis calcium phosphate which precipitates in submandibular saliva of patients with cystic fibrosis because of elevated calcium concentrations was shown by electron microscopy to transform on standing in vitro from amorphous calcium phosphate globules to stellar clusters of hydroxyapatite crystals amorphous globules appeared to form at regular nucleation points on a fine network of unknown nature hydroxyapatite crystal formation was confirmed by electron diffraction pattern and chemical solubility zymogen granule spherules inclusion bodies which are present in greatly increased numbers in cystic fibrosis submandibular saliva disintegrated on standing from a homogeneous appearance to beaded hollow spheres
what is the role of aerosols in the treatment of lung disease in cf patients	what is the role of aerosols in the treatment of lung disease in cf patients	membrane function in cystic fibrosis i putrescine transport in normal and cystic fibrosis fibroblasts putrescine transport was examined in normal and cystic fibrosis fibroblasts no differences were observed in accumulation pattern kinetics of uptake or efflux between cf and normal cells in both growing and growth arrested cf and normal fibroblasts exogenously supplied putrescine remained unchanged for at least min some differences were observed in the response of cf and normal cells to environmental media changes
